category,train_count,train_avg_words,train_max_words,test_count,test_avg_words,test_max_words,train_share_%
card_payment_fee_charged,187,13.96,41,40,12.65,43,1.87
direct_debit_payment_not_recognised,182,15.99,58,40,15.12,45,1.82
balance_not_updated_after_cheque_or_cash_deposit,181,14.24,41,40,14.0,40,1.81
wrong_amount_of_cash_received,180,15.28,53,40,15.22,43,1.8
cash_withdrawal_charge,177,14.15,47,40,14.6,60,1.77
transaction_charged_twice,175,15.99,66,40,16.08,44,1.75
declined_cash_withdrawal,173,13.87,39,40,13.3,35,1.73
transfer_fee_charged,172,17.4,78,40,14.58,66,1.72
transfer_not_received_by_recipient,171,17.55,58,40,15.1,54,1.71
balance_not_updated_after_bank_transfer,171,14.7,44,40,13.35,36,1.71
request_refund,169,14.33,69,40,12.95,42,1.69
card_payment_not_recognised,168,14.7,64,40,13.98,46,1.68
card_payment_wrong_exchange_rate,167,13.2,35,40,12.5,22,1.67
extra_charge_on_statement,166,12.35,33,40,12.92,43,1.66
wrong_exchange_rate_for_cash_withdrawal,163,15.46,39,40,16.4,36,1.63
Refund_not_showing_up,162,15.81,50,40,15.58,45,1.62
reverted_card_payment?,161,14.64,53,40,12.88,69,1.61
cash_withdrawal_not_recognised,160,15.44,40,40,13.92,33,1.6
pending_card_payment,159,13.7,39,40,11.42,31,1.59
activate_my_card,159,9.15,20,40,9.25,18,1.59
cancel_transfer,157,13.95,43,40,11.1,28,1.57
beneficiary_not_allowed,156,12.31,54,40,12.42,29,1.56
card_arrival,153,10.43,23,40,10.55,20,1.53
declined_card_payment,153,12.32,54,40,12.02,52,1.53
pending_top_up,149,12.48,45,40,16.35,59,1.49
pending_transfer,148,15.24,59,40,10.98,28,1.48
top_up_reverted,146,13.92,39,40,10.38,29,1.46
top_up_failed,145,13.54,43,40,9.62,35,1.45
pending_cash_withdrawal,143,16.53,64,40,15.38,47,1.43
card_linking,139,12.52,31,40,11.28,24,1.39
failed_transfer,137,15.99,54,40,11.75,39,1.37
visa_or_mastercard,135,8.16,16,40,7.78,13,1.35
declined_transfer,133,13.76,41,40,13.52,40,1.33
supported_cards_and_currencies,129,9.99,20,40,9.9,23,1.29
card_about_to_expire,129,11.98,28,40,13.45,29,1.29
country_support,129,9.05,20,40,9.1,15,1.29
getting_spare_card,129,9.55,24,40,9.28,19,1.29
transfer_timing,128,11.04,26,40,11.58,21,1.28
automatic_top_up,127,9.05,18,40,10.22,22,1.27
verify_top_up,126,8.31,19,40,8.62,14,1.26
fiat_currency_support,126,8.57,19,40,8.22,17,1.26
apple_pay_or_google_pay,126,10.34,23,40,10.48,24,1.26
change_pin,122,10.45,28,40,9.88,21,1.22
why_verify_identity,121,9.32,19,40,9.32,16,1.21
exchange_charge,121,8.88,22,40,9.12,21,1.21
disposable_card_limits,121,9.95,22,40,10.02,17,1.21
edit_personal_details,121,8.47,15,40,7.92,14,1.21
lost_or_stolen_phone,121,11.89,41,40,11.48,23,1.21
order_physical_card,120,7.88,18,40,7.55,22,1.2
exchange_via_app,118,9.27,20,40,8.22,15,1.18
pin_blocked,115,10.25,27,40,10.68,30,1.15
top_up_by_cash_or_cheque,114,9.04,18,40,9.22,17,1.14
top_up_by_card_charge,114,10.87,19,40,10.85,21,1.14
transfer_into_account,113,11.84,24,40,12.55,27,1.13
verify_source_of_funds,113,8.83,15,40,8.8,13,1.13
card_not_working,112,9.85,38,40,7.6,14,1.12
exchange_rate,112,7.83,19,40,7.25,14,1.12
card_delivery_estimate,112,9.06,20,40,8.2,16,1.12
top_up_by_bank_transfer_charge,111,8.61,16,40,8.88,15,1.11
age_limit,110,9.24,17,40,10.0,15,1.1
terminate_account,108,8.96,21,40,9.43,23,1.08
get_physical_card,106,7.71,17,40,7.05,15,1.06
passcode_forgotten,105,7.7,17,40,7.68,12,1.05
verify_my_identity,104,8.58,15,40,8.78,15,1.04
topping_up_by_card,103,10.22,22,40,10.65,22,1.03
unable_to_verify_identity,102,10.84,79,40,7.42,13,1.02
getting_virtual_card,98,8.85,20,40,8.18,21,0.98
top_up_limits,97,7.74,17,40,7.62,16,0.97
get_disposable_virtual_card,97,8.94,33,40,9.18,17,0.97
receiving_money,95,10.13,21,40,9.65,19,0.95
atm_support,87,7.69,13,40,7.48,12,0.87
compromised_card,86,14.34,59,40,13.2,33,0.86
lost_or_stolen_card,82,10.74,44,40,10.62,33,0.82
card_swallowed,61,10.36,30,40,10.78,40,0.61
card_acceptance,59,7.47,11,40,7.38,14,0.59
virtual_card_not_working,41,9.37,25,40,10.48,24,0.41
contactless_not_working,35,10.4,27,40,10.48,25,0.35
